cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
12859587,C11H20O,168.28,3.3,0,1,TRUE,5331-32-8,13153,5331328,NA,NA,"Bicyclo[2.2.1]heptane, 2-methoxy-1,7,7-trimethyl-, (1R,2R,4R)-rel-",NA,NA,NA,ACTIVE
220050,C11H20O,168.28,3.3,0,1,TRUE,5331-32-8,13153,5331328,NA,NA,"Bicyclo[2.2.1]heptane, 2-methoxy-1,7,7-trimethyl-, (1R,2R,4R)-rel-",NA,NA,NA,ACTIVE
95330,C11H20O,168.28,3.3,0,1,TRUE,5331-32-8,13153,5331328,NA,NA,"Bicyclo[2.2.1]heptane, 2-methoxy-1,7,7-trimethyl-, (1R,2R,4R)-rel-",NA,NA,NA,ACTIVE
102601210,C11H20O,168.28,3.3,0,1,TRUE,5331-32-8,13153,5331328,NA,NA,"Bicyclo[2.2.1]heptane, 2-methoxy-1,7,7-trimethyl-, (1R,2R,4R)-rel-",NA,NA,NA,ACTIVE
134688399,C11H20O,168.28,3.3,0,1,TRUE,5331-32-8,13153,5331328,NA,NA,"Bicyclo[2.2.1]heptane, 2-methoxy-1,7,7-trimethyl-, (1R,2R,4R)-rel-",NA,NA,NA,ACTIVE
17092,C12H23N,181.32,4.7,0,1,TRUE,2437-25-4,9984,2437254,NA,NA,Dodecanenitrile,NA,NA,NA,ACTIVE
6455672,C19H20N2O3,324.4,NA,1,5,FALSE,67969-76-0,38162,67969760,NA,NA,"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, polymer with 1,3-diisocyanatomethylbenzene",NA,NA,XU,INACTIVE
61754,Cl4H8N2Zn,243.3,NA,2,1,FALSE,14639-97-5,19508,14639975,NA,NA,"Zincate(2-), tetrachloro-, ammonium (1:2), (T-4)-",NA,NA,NA,ACTIVE
44149540,C44H91N3O6S,790.3,NA,3,7,FALSE,112576-48-4,62404,112576484,NA,NA,"Sulfuric acid, monoethyl ester, compd. with N,N'-[(ethylimino)di-2,1-ethanediyl]bis[octadecanamide] (1:1)",NA,NA,NA,INACTIVE
103148,C10H10N2,158.2,1.9,1,2,TRUE,65079-19-8,34635,65079198,NA,NA,"6-Quinolinamine, 2-methyl-",NA,NA,PMN,ACTIVE
61906,C20H44ClN,334,NA,0,1,FALSE,32426-11-2,26268,32426112,NA,NA,"1-Decanaminium, N,N-dimethyl-N-octyl-, chloride (1:1)",NA,NA,NA,ACTIVE
13931131,C22H23N3O2,361.4,4.2,1,4,TRUE,4899-82-5,12876,4899825,NA,NA,"2-Naphthalenecarboxamide, 4-[[4-(diethylamino)phenyl]imino]-1,4-dihydro-N-methyl-1-oxo-",NA,NA,PMN,ACTIVE
111374,C14H26O,210.36,5.2,0,1,FALSE,68833-92-1,48198,68833921,NA,NA,"2-Undecen-4-one, 7-ethyl-2-methyl-",NA,NA,NA,INACTIVE
159632,C16H30O4Sn,405.1,NA,0,4,FALSE,1912-83-0,5227,1912830,NA,NA,"Octanoic acid, tin(2+) salt (2:1)",NA,NA,NA,ACTIVE
522401,C12H19N,177.29,4.2,0,1,TRUE,710-40-7,6930,710407,NA,NA,"Pyridine, 5-hexyl-2-methyl-",NA,NA,PMN,ACTIVE
155006,C12H18O5,242.27,1.6,1,5,TRUE,67905-48-0,37549,67905480,NA,NA,"2-Propenoic acid, 1,1'-(2-hydroxy-1,6-hexanediyl) ester",NA,NA,NA,INACTIVE
7517,C6H11NO,113.16,1.2,1,2,TRUE,100-64-1,2022,100641,NA,NA,"Cyclohexanone, oxime",NA,NA,NA,ACTIVE
14029936,C30H46BaO2,576,NA,0,2,FALSE,28987-17-9,25244,28987179,NA,NA,"Phenol, nonyl-, barium salt (2:1)",NA,NA,NA,ACTIVE
89211,C19H34O2,294.5,6.4,0,2,FALSE,19754-59-7,17389,19754597,NA,NA,"2H-Pyran, tetrahydro-2-(9-tetradecyn-1-yloxy)-",NA,NA,NA,INACTIVE
68396,C9H18N2,154.25,0.5,1,2,TRUE,556-72-9,5483,556729,NA,NA,"Pyrimidine, 1,2,5,6-tetrahydro-2,2,4,6,6-pentamethyl-",NA,NA,NA,ACTIVE
69633,C2H4ClNO,93.51,1,1,2,FALSE,683-58-9,6802,683589,NA,NA,"Ethanimidoyl chloride, N-hydroxy-",NA,NA,NA,INACTIVE
5464216,C2H4ClNO,93.51,1,1,2,FALSE,683-58-9,6802,683589,NA,NA,"Ethanimidoyl chloride, N-hydroxy-",NA,NA,NA,INACTIVE
9571064,C2H4ClNO,93.51,1,1,2,FALSE,683-58-9,6802,683589,NA,NA,"Ethanimidoyl chloride, N-hydroxy-",NA,NA,NA,INACTIVE
6455669,C34H60N2O4,560.9,NA,1,5,FALSE,67953-84-8,38138,67953848,NA,NA,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with N-(1,1-dimethyl-3-oxobutyl)-2-propenamide and 2-propenenitrile",NA,NA,XU,INACTIVE
5283349,C10H16O,152.23,3.2,0,1,TRUE,25152-84-5,23115,25152845,NA,NA,"2,4-Decadienal, (2E,4E)-",NA,NA,NA,ACTIVE
136075999,C34H24Li4N6O16S4,928.7,NA,4,22,FALSE,71550-22-6,54665,71550226,NA,NA,"2,7-Naphthalenedisulfonic acid, 3,3'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[5-amino-4-hydroxy-, lithium salt (1:4)",NA,NA,NA,INACTIVE
168462,C33H40O5,516.7,NA,4,5,FALSE,26022-00-4,23753,26022004,NA,NA,"Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol, 4,4'-(1-methylethylidene)bis[phenol] and 4-methylphenol",NA,NA,XU,ACTIVE
5455,C6H12N2S4,240.4,1.7,0,4,TRUE,137-26-8,3565,137268,NA,NA,"Thioperoxydicarbonic diamide ([(H2N)C(S)]2S2), N,N,N',N'-tetramethyl-",NA,NA,NA,ACTIVE
82671,C20H27O4P,362.4,4.7,1,4,TRUE,21150-89-0,21728,21150890,NA,NA,"Phenol, 4-(1,1-dimethylethyl)-, 1,1'-(hydrogen phosphate)",NA,NA,NA,ACTIVE
3776,C3H8O,60.1,0.3,1,1,FALSE,67-63-0,321,67630,NA,NA,2-Propanol,NA,NA,NA,ACTIVE
117011,C12H22O,182.3,3.9,1,1,TRUE,71084-08-7,54002,71084087,NA,NA,9-Dodecyn-1-ol,NA,NA,NA,INACTIVE
44154107,C48H30N2O13S,874.8,NA,2,15,FALSE,125881-35-8,63230,125881358,NA,NA,"1,3-Isobenzofurandione, 5,5'-[[1,1'-biphenyl]-4,4'-diylbis(oxy)]bis-, polymer with 1,3-isobenzofurandione and 4,4'-sulfonylbis[benzenamine]",NA,NA,XU; Y1,INACTIVE
44151975,C42H50N12O8S,883,NA,0,16,FALSE,72749-67-8,56621,72749678,NA,NA,"4H-1,2,4-Triazolium, 5-[2-[4-[[2-(benzoyloxy)ethyl]ethylamino]phenyl]diazenyl]-1,4-dimethyl-, sulfate (2:1)",NA,NA,NA,INACTIVE
11137142,BF4NO,116.81,NA,0,6,FALSE,14635-75-7,19504,14635757,NA,NA,"Borate(1-), tetrafluoro-, nitrosyl (1:1)",NA,NA,NA,ACTIVE
5754183,C24H16N2O2,364.4,6.2,0,4,FALSE,5045-43-2,12963,5045432,NA,NA,"Benzoxazole, 2,2'-(1,4-phenylenedi-2,1-ethenediyl)bis-",NA,NA,NA,INACTIVE
6399014,C14H11NO2,225.24,3.7,1,3,TRUE,574-15-2,5583,574152,NA,NA,"1,2-Ethanedione, 1,2-diphenyl-, 1-oxime, (1E)-",NA,NA,NA,INACTIVE
6398987,C14H11NO2,225.24,3.7,1,3,TRUE,574-15-2,5583,574152,NA,NA,"1,2-Ethanedione, 1,2-diphenyl-, 1-oxime, (1E)-",NA,NA,NA,INACTIVE
162538,C21H16N2O4,360.4,2.3,2,5,TRUE,74082-22-7,47032,74082227,NA,NA,"1H-Indene-6-carboxamide, 3-hydroxy-2-(3-hydroxy-2-quinolinyl)-N,N-dimethyl-1-oxo-",NA,NA,NA,INACTIVE
6437763,C14H26O,210.36,4.8,1,1,TRUE,63025-02-5,32710,63025025,NA,NA,"9,11-Tetradecadien-1-ol, (9E,11Z)-",NA,NA,NA,INACTIVE
44148348,C38H24K2N8Na2O13S4,1053.1,NA,0,20,FALSE,120206-81-7,62830,120206817,NA,NA,"Benzenesulfonic acid, 2-[2-[4-[1-oxido-2-[4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]-2-sulfophenyl]ethenyl]-5-[2-[4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]-, potassium sodium salt (1:?:?)",NA,NA,NA,INACTIVE
