Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
1-methylpiperidine,CN1CCCCC1,C6H13N,99.10479942,99.17,0.927,"58.06513,81.42;72.08078,23.56;98.09643,100","96.08187,100;82.06622,50.4611330698287",626-67-5,EPAPLT0064,DTXSID1024170,"1,1-Dimethylpiperidinium chloride",24307-26-4
Dichlorvos,COP(=O)(OC)OC=C(Cl)Cl,C4H7Cl2O4P,219.9459011,220.97,1.207,"109.00491,100;78.99434,44.59250446163","182.96195,48.05;92.9747,100;172.89676,6.31",62-73-7,EPAPLT0065,DTXSID5020449,,
Dimethyl adipate,COC(=O)CCCCC(=O)OC,C8H14O4,174.0892089,174.19,0.648,"41.03858,70.3831674488165;55.05423,74.5242638337373;81.03349,24.2535196740756;83.04914,100;85.06479,23.9647259037698;99.04406,24.5990407921201;111.04406,8.27703573822907;113.05971,9.96338507555051;115.07536,56.0208344077149;125.05971,24.3824454643907;143.07027,73.4103450054149;157.08592,6.44628951575473;55.01784,35.5628900005157;57.03349,16.4096745913052;59.04914,27.8685988345109;69.03349,30.6379248104791;71.04914,53.3804342220618;75.04406,11.0257335877469;85.02841,36.274560363055;87.04406,10.2057655613429;97.06479,20.9066061574957;101.05971,11.8508586457635;39.02293,8.24093651694085;59.01276,4.23392295394771","83.05024,100;141.05572,47.2632426834414;55.01894,6.45544858271643;109.0295,8.01273445590887;111.04515,17.4216562464041;113.0608,4.94802654290208;115.07645,9.27850868781405;123.04515,11.5952591001496;41.00329,7.94369222507767;57.03459,4.19239768324959;59.01385,3.98910667024664;69.03459,6.80449541636301;71.05024,1.79126232212036;73.0295,2.96881592574125;127.04007,1.56112155268306",627-93-0,EPAPLT0069,DTXSID8025096,,
Pentyl acetate,CCCCCOC(=O)C,C7H14O2,130.0993797,130.18,2.16,"41.03858,55.41;43.01784,59.6633333333333;43.05423,100;69.06988,20.3366666666667;71.08553,60.0433333333333;55.05423,6.99666666666667","59.01385,100;87.08154,38.2540836234268;41.00329,18.3581347308825",628-63-7,EPAPLT0062,DTXSID1027263,,
Flumetralin,CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],C16H12ClF4N3O4,421.0452462,421.73,4.239,"420.03687,7.15;402.02631,16.28;112.02673,15.55;113.03455,7.63;143.00583,4.85;165.00321,9.59;166.01104,31.34;183.02456,5.79;191.01886,6.69;197.04021,6.38;230.02976,80.75;231.03759,100;259.01993,9.37;260.02775,11.5;277.03049,9.62;326.03542,12.04;328.05107,18.01;346.01267,56.56;347.02049,34.24;349.03614,5.76;355.04557,5.3;378.02631,6.22","0,100;",62924-70-3,EPAPLT0069,DTXSID7032553,,
Pentadecane,CCCCCCCCCCCCCCC,C15H32,212.250401,212.41,8.875,"43.05423,73.7130089827185;57.06988,100;71.08553,68.400893712097;85.10118,30.4956454334048;99.11683,13.6838265468971;115.14813,15.4393324517806;129.16378,7.75158451506999;55.05423,18.4487711458666;59.08553,10.4327208061648;69.06988,12.8949888285988;73.10118,8.86416488076239","209.22747,100;57.07097,71.1162255466053;67.05532,46.7779056386651;71.08662,60.4718066743383;99.11792,38.7802071346375;113.13357,62.2554660529344;125.13357,58.4004602991945;127.14922,73.8204833141542;139.14922,35.7307249712313;141.16487,55.8688147295742;153.16487,42.5776754890679;155.18052,65.8227848101266;169.19617,40.7364787111623",629-62-9,EPAPLT0061,DTXSID6027268,,
1-Pentadecanol,CCCCCCCCCCCCCCCO,C15H32O,228.2453156,228.41,7.11,"43.05423,70.5092524779063;55.05423,39.7148576729652;57.06988,100;69.06988,24.075972852888;71.08553,53.0247546506518;83.08553,15.8781309506372;85.10118,28.3726380547825;97.10118,7.4508080660124;99.11683,16.0099604511498;101.09609,3.15414286411796;103.11174,7.2213270836385;113.13248,4.00371075631073;127.14813,3.8279380889605;131.14304,3.28108979053757;211.24203,10.5903032078512;59.08553,5.47336555832235;101.13248,5.95674039353547;41.03858,13.1341243103364;45.03349,8.66656901518481","225.22239,43.9457459926017;41.03967,19.3341553637485;43.01894,100;53.03967,20.517879161529;55.01894,39.0875462392109;57.03459,42.0468557336621;57.07097,49.4697903822441;59.05024,20.8877928483354;67.05532,46.5104808877929;71.08662,81.8742293464858;99.11792,43.9457459926017;111.11792,27.8668310727497;113.13357,24.636251541307;125.13357,36.0049321824908;127.11284,23.7484586929716;127.14922,82.3181257706535;129.12849,19.3588162762022;139.14922,20.5918618988903;141.12849,40.3452527743527;143.14414,22.4660912453761;153.16487,23.8964241676942;155.14414,16.4734895191122;155.18052,20.3945745992602;167.18052,27.5462392108508;169.15979,33.4155363748459;195.21182,25.8446362515413;197.22747,16.2762022194821;209.22747,39.2355117139334",629-76-5,EPAPLT0067,DTXSID0027270,,
Androstenedione,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,C19H26O2,286.1932801,286.4,3.028,"269.18999,100;30,12.7424607107461;79.05423,40.7475576950304;81.06988,36.3584878946623;95.04914,22.1364859125018;97.06479,36.3160130256265;105.06988,33.271980744726;107.08553,12.1761291236019;109.06479,37.7672377176837;119.04914,29.7324083250743;121.06479,14.0945773750531;123.08044,40.5564207843693;125.09609,32.8613903440464;131.08553,12.3601868894238;133.10118,7.73750530935863;147.08044,26.1008070225117;149.09609,6.4207843692482;159.08044,35.4665156449101;161.09609,66.9828684694889;163.11174,55.4084666572278;0.20167,0.0963046863938836;165.12739,18.9367124451366;177.12739,33.0171315305111;227.14304,28.5006371230355;229.15869,26.8016423616027;231.17434,30.1005238567181;239.14304,11.5885601019397;241.15869,11.9779130681014;243.17434,20.3808579923545;251.17943,42.7155599603568;253.15869,7.4755769503044;259.16926,7.27736089480391;55.05423,14.3848223134645;67.05423,24.7628486478833;77.03858,16.8271272830242;91.05423,70.7914483930341;93.03349,32.3092170465808;93.06988,49.1009486054085;103.05423,15.1564491009486;119.08553,12.3177120203879;121.10118,12.3814243239417;147.11683,12.1902874132805;157.06479,41.9156165935155;157.10118,19.3543819906555;175.11174,11.6593515503327;0.11139,0.0548916890839587","283.17035,100;97.06589,5.47218977446311;109.06589,5.93045197232456;121.06589,7.77248629706173;161.09719,6.4426273699344;229.15979,7.85335609668434;241.15979,7.35915176565729;243.17544,8.28466169467158;251.14414,7.51190583161111;253.15979,11.2678587474167;255.13905,7.34118069907449;255.17544,13.8736634019229;257.1547,10.2524934854884;257.19109,9.25509929014287;267.17544,6.52349716955701;269.1547,8.12292209542636;0.4992,0.443786503728996",63-05-8,EPAPLT0064,DTXSID8024523,"4-Androstene-3,17-dione",63-05-8
Methylene bis(thiocyanate),C(SC#N)SC#N,C3H2N2S2,129.9659404,130.2,0.396,"71.99025,100;26.00253,3.52666666666667;44.97935,5.93333333333333","101.94776,16.595;57.97569,100",6317-18-6,EPAPLT0069,DTXSID8025599,,
Carbaryl,CNC(=O)OC1=CC=CC2=CC=CC=C21,C12H11NO2,201.0789786,201.22,1.708,"117.06988,22.08;145.06479,100;115.05423,42.94;77.03858,10.495;89.03858,9.295;91.05423,17.635;103.05423,9.485;127.05423,50;129.06988,13.78","72.0091,6.89666666666667;143.05024,100;56.01419,6.63333333333333;115.05532,10.1266666666667;127.05532,6.24",63-25-2,EPAPLT0068,DTXSID9020247,"1-Naphthalenol, 1-(N-methylcarbamate)",63-25-2
3-Hydroxyfluorene,C1C2=C(C=C(C=C2)O)C3=CC=CC=C31,C13H10O,182.0731649,182.22,2.636,"153.06988,100;0.18952,0.0896540972425217;127.05423,16.2330702523629;139.05423,12.0627496833285;141.06988,39.8908701159505;151.05423,16.6910260157849;155.08553,12.364805612394;157.06479,23.9111370944168;167.04914,27.3214459709637;181.06479,30.293286563383","179.05024,4.48210922787194;151.05532,100;155.05024,55.668549905838;0.72534,0.748549905838041",6344-67-8,EPAPLT0068,DTXSID9047540,,
Clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,C12H15ClO3,242.070972,242.7,2.395,"43.05423,33.2869726471952;69.03349,18.3124710245712;71.04914,46.3452325761088;115.07536,18.5983619224231;129.01017,100;169.04147,65.878535002318;197.03638,19.5023953021171;41.03858,20.2441662803276;59.04914,95.1012208314016;85.02841,12.3551228558183;87.04406,48.8487096275692;97.06479,10.7324988409828;103.03897,31.3707309534848;167.02582,7.59542574563437;171.05712,12.3010353886571;173.07277,5.13058259928914;183.10157,4.52789367949312;215.04695,22.8171843609952;57.03349,10.8638541183743;61.06479,5.59418946067069;73.02841,4.5510740225622;89.05971,2.61937876680575;110.9996,5.81053932931541;113.01525,7.68042033688765","85.0295,5.39;126.99562,100;169.04257,8.82333333333333;213.0324,9.79666666666667;34.9694,22.73;57.03459,1.97666666666667;69.03459,4.26666666666667;87.04515,6.33333333333333;111.0007,5.10666666666667;113.0608,3.26333333333333;84.98505,7.49;99.0007,4.36333333333333",637-07-0,EPAPLT0064,DTXSID3020336,,
Bis(2-ethylhexyl) terephthalate,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,C24H38O4,390.2770097,390.6,7.232,"55.05423,33.725940821603;57.06988,34.5733984487216;71.08553,21.9046251077277;83.08553,20.7746816049028;85.10118,11.7111941013119;113.13248,100;373.27372,7.9479076893613;43.05423,22.9866896485684;111.11683,13.8082926362157;115.14813,30.3696255865173;149.02332,6.18117399214785;151.03897,7.35899645695681;181.04954,7.88566503878196;235.09649,5.6975964761084;249.11214,11.2611318586613;261.14852,11.6106482811453;263.16417,7.00469213827444;267.19547,5.50129273197357;279.15909,6.6168725462032;293.17474,6.92808579909988;333.20604,6.10456765297328;335.22169,12.587379105621;337.23734,9.16882121995595;339.25299,12.4150148424782;341.26864,6.76529732835392;349.23734,8.12027195250407;361.23734,9.64761083979699;363.25299,11.2754955472565;389.26864,5.11826103610074;81.06988,5.56353538255291;95.08553,5.34808005362444","277.14453,90.25;97.10227,28.26;107.08662,37.71;109.10227,6.58;111.11792,34.8;231.10267,12.63;233.11832,9.24;247.09758,69.62;249.11323,86.5;251.12888,5.23;259.13397,10.81;267.19657,44.64;283.19148,10;331.19148,8.59;333.20713,7.18;359.22278,23.3;361.23843,100;99.08154,42.81;101.09719,100;113.09719,32.83;121.0295,89.46;123.04515,50.26;125.09719,16.78;127.07645,37.18;127.11284,26.59;129.12849,81.01;149.02442,53.83;165.01933,84.79;167.03498,52.11;191.10775,16.92;217.1234,28.6;233.08193,32.37;233.1547,32.2;235.09758,54.23;237.11323,20.89;245.1547,22.87;261.11323,66.27;263.12888,50.53;265.18092,30.27;291.16018,17.38",6422-86-2,EPAPLT0067,DTXSID7027625,,
"1,2-Benzenedicarboxaldehyde",C1=CC=C(C(=C1)C=O)C=O,C8H6O2,134.0367794,134.13,0.466,"105.03349,100;107.04914,65.4108391608392;63.02293,41.3505244755245;79.05423,10.6512237762238;91.01784,27.9763986013986;117.03349,57.0017482517483;41.00219,10.4938811188811;51.02293,29.9781468531469;53.03858,15.6949300699301;65.03858,25.4676573426573;75.02293,43.7062937062937;89.00219,17.3776223776224","105.03459,93.72;77.03967,100;63.02402,5.825;65.00329,8.39;89.00329,8.65;131.01385,27.16",643-79-8,EPAPLT0060,DTXSID6032514,,
Diethyl sulfate,CCOS(=O)(=O)OCC,C4H10O4S,154.02998,154.19,-0.982,"80.96409,95.0614439324117;127.00596,92.0276497695853;45.03349,15.3072196620584;98.97466,58.3026113671275;108.99539,100;64.96918,76.8049155145929;82.97974,8.40245775729647","124.9914,73.17;80.96519,25.29;122.97575,33.36;96.9601,100",64-67-5,EPAPLT0065,DTXSID1024045,,
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13O,364.0132809,364.1,5.689,"347.00999,83.7868162692847;320.99434,15.2314165497896;95.0303,28.9481065918654;101.00089,24.2636746143057;195.02391,34.7545582047686;218.98508,27.8541374474053;221.00073,25.9467040673212;295.01752,18.6255259467041;318.97869,32.9873772791024;345.01433,100","342.99978,14.6839854268969;18.99895,20.497386345636;360.99036,100",647-42-7,EPAPLT0070,DTXSID5044572,2-(Perfluorohexyl)ethanol,647-42-7
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,C22H25NO6,399.1681875,399.4,1.307,"341.13835,100;309.11214,55.4178261236192;358.1649,19.0994181634202;368.14925,7.82528037777216;382.1649,10.9452736318408;42.03383,22.5314107428957;43.01784,84.3241420018551;44.01309,27.4475082216038;56.04948,8.3818197149844;255.10157,34.952356859769;257.11722,19.9932540686399;268.09682,12.2438654186694;269.11722,7.1591196559575;270.11247,9.82376254321612;272.12812,11.2404081288473;282.11247,15.8360738679484;284.12812,7.47111898136436;295.09649,41.6561261489164;297.11214,25.820052280968;311.12779,43.3088793321528;313.14344,11.181381229446;314.13868,10.3887342946286;323.0914,19.8583354414369;323.12779,14.8916434775276;325.10705,17.7417994771903;339.1227,17.6659077493887;354.1336,12.8931613120836","58.02984,100;41.99854,98.9364161849711;324.12413,23.7225433526012;340.11905,28.354527938343;352.11905,33.0250481695568;354.1347,18.1425818882466;356.15035,10.1579961464355;366.1347,16.0693641618497;382.12961,7.16763005780347;396.14526,49.1560693641619;0.0091837,0.00571822736030829;40.01927,4.09248554913295;41.00329,6.23506743737958;55.01894,5.72639691714836;254.08227,7.27552986512524;310.10848,5.626204238921;326.13978,7.56840077071291;338.1034,5.70327552986513;366.09831,13.7495183044316;380.11396,4.47013487475915",64-86-8,EPAPLT0067,DTXSID5024845,,
"1-[2-({[(2-chloro-4,5-difluorophenyl)carbonyl]carbamoyl}amino)-4-fluorophenyl]piperidine-4-carboxylic acid",C1CN(CCC1C(=O)O)C2=C(C=C(C=C2)F)NC(=O)NC(=O)C3=CC(=C(C=C3Cl)F)F,C20H17ClF3N3O4,455.0859682,455.8,2.838,"265.0983,77.9494848786972;174.97568,100;192.00222,13.4097706879362;217.98149,40.5616483881688;219.09282,17.5390495181123;221.10847,16.5835825855766;239.11903,14.523097374543;356.04082,5.99867065470256;438.08268,40.1960784313725;67.05423,4.12097042206713;69.06988,12.3462944499834;82.06513,2.96610169491525;94.06513,4.96842804918578;115.07536,4.82718511133267;138.03497,3.04918577600532;148.99641,3.05749418411432;176.087,7.55234297108674;199.99091,7.95114656031904;217.07717,4.64440013293453;247.08773,3.65569956796278;282.12485,3.86340977068794;342.02517,3.66400797607178;354.02517,5.05982053838485;358.05647,5.50016616816218;368.04082,3.62246593552675;370.05647,8.05915586573613;382.05647,3.06580259222333;384.07212,6.17314722499169;412.08702,5.98205383848455;420.11657,3.07411100033234;422.07137,3.2901296111665;428.06194,6.93752077102027","189.98767,0;191.099,0;193.11465,0;217.09825,0;237.10448,0;263.08374,0;390.08263,0;434.07246,0;0.0002758,0;18.99895,0;34.9694,0;41.99854,0;128.99128,0;146.98186,0;171.99709,0;189.08335,0;215.96694,0;219.09391,0;233.07318,0;235.08883,0;243.07752,0;342.08956,0;388.06698,0;414.06624,0;416.0619,0;436.06813,0;44.9982,0;110.04115,0;123.0364,0;126.05605,0;138.03607,0;145.98144,0;151.03131,0;151.0677,0;192.00332,0;268.99349,0;322.02003,0;332.10521,0;354.02626,0;368.04191,0;382.05756,0;384.05681,0;452.06304,0",648917-13-9,EPAPLT0069,DTXSID5047376,AVE2865,648917-13-9
Chlorsulfuron,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,C12H12ClN5O4S,357.0298527,357.77,-0.199,"141.07709,100;0.023128,0.00697407864574149;84.05562,12.2553341562335;86.03489,2.42020807617704;99.05529,5.03879386351614;110.03489,38.4191500617175;112.05054,28.7912184799859;124.05054,16.6945864926821;125.04579,15.8966672544525;126.0298,2.45988361840945;137.04579,9.29289366954682;139.06144,14.9003703050608;150.0298,3.07265032622113;167.05635,59.2047257979192;169.072,11.435372950097;174.9615,43.6739552107212;42.03383,22.5401163815905;43.02907,13.0047610650679;57.04472,19.4321989067184;67.02907,44.0839358137895;69.00834,13.6439781343678;69.04472,11.8629871274907;73.03964,8.76829483336272;83.02399,9.89243519661435;84.04439,13.1149709046024;85.03964,6.99171222006701;95.02399,14.4771645212485;98.9996,12.8460588961382;100.05054,8.51260800564274;110.9996,18.0920472579792;113.01525,10.8093810615412;201.9724,9.53976371010404;244.97822,7.91747487215659;259.98912,26.4988538176688;285.02075,13.692470463763","139.06253,100;189.9735,3.70666666666667;41.99854,4.42333333333333;67.03017,6.26333333333333;77.96552,6.84666666666667;98.03599,4.04666666666667;109.05197,9.63333333333333;34.9694,3.11;40.01927,11.36;41.01452,1.87333333333333",64902-72-3,NA,NA,,
Pyridoxine,CC1=NC=C(C(=C1O)CO)CO,C8H11NO3,169.0738932,169.18,-1.224,"134.06004,100;152.0706,82.1589446589447;122.06004,25.2171814671815;124.07569,19.1401222651223;41.03858,3.07271557271557;42.03383,5.94031531531532;44.04948,2.88368725868726;45.03349,2.54182754182754;54.03383,5.97249034749035;56.04948,3.57142857142857;57.03349,4.39189189189189;66.03383,3.2778314028314;69.03349,6.72458172458172;71.04914,3.125;78.03383,3.24967824967825;80.04948,3.18130630630631;81.03349,6.06499356499357;82.06513,2.49758687258687;83.04914,12.5040218790219;96.04439,5.58236808236808;98.06004,4.60505148005148;99.04406,3.03651866151866;101.05971,2.86357786357786;108.04439,2.65846203346203;110.06004,3.64382239382239;111.04406,6.79697554697555;120.04439,2.43323680823681;121.02841,2.54584942084942;136.0393,3.76447876447876;138.05495,3.45479407979408;0.083735,0.0154806145431145;150.05495,2.98423423423423","108.04549,100;122.06114,48.8379060908274;132.04549,25.0310319736335;150.05605,42.8027222531353;120.04549,40.1532337456662;136.0404,4.70401917561957;138.05605,8.41929546719171;40.01927,18.5207379189316;41.00329,7.86714035012627;43.01894,4.95227496468775;52.01927,4.37871848649574;55.01894,5.50014980952789;65.00329,8.78739887856868;65.99854,6.41612806574498;67.01894,17.3607841458717;70.02984,5.40598382057099;80.01419,4.37443821427043;82.02984,4.3016735864401;97.0295,41.0991739074605;106.02984,23.8710782005736;112.0404,4.70829944784488;122.02475,11.3983649360099",65-23-6,EPAPLT0061,DTXSID4023541,,
Ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,C26H28Cl2N4O4,530.1487608,531.4,2.185,"489.14547,28.9367921081476;69.04472,100;239.01373,15.0529777128243;255.00864,4.36609426379247;257.12845,23.1457800511509;259.1441,22.8717573986116;275.13902,4.04640116916332;311.03486,8.4490317866277;385.18703,3.19693094629156;432.08762,44.1176470588235;434.10327,3.3339422725612;444.08762,89.8976982097187;446.10327,39.4957983193277;458.10327,3.07818779685787;460.11892,3.60796492510047;463.11859,15.144318597004;513.14547,21.985750822068;72.08078,15.0621118012422;118.06513,7.01497990500548;120.08078,13.3083668249909;167.11789,13.1896236755572;219.1128,12.120935330654;221.12845,17.053343076361;230.99741,7.38034344172452;233.12845,7.11545487760322;235.1441,12.2396784800877;277.15467,12.3858238947753;393.07672,6.98757763975155;403.06107,6.9693094629156;405.07672,8.12933869199854;407.09237,10.0840336134454;418.07197,8.27548410668615;419.09237,6.85056631348191;448.11892,7.44428206065035;472.11892,19.4647424187066;487.12982,11.0705151625868;501.10909,7.62696382900986;505.14039,30.8275484106686","34.9694,33.6545353189456;219.1139,26.3279445727483;275.14012,5.68607151389663;341.16191,8.33001513100263;383.17248,8.15481404794139;451.15424,5.2799235486183;485.11527,3.36863900613204;487.13092,35.1676355817472;493.16481,2.9704547264474;40.01927,7.23899020466672;41.01452,2.79525364338616;67.03017,100;71.01385,3.20936529425818;144.96173,9.31751214462053;175.08769,81.8189057895994;233.12955,11.6190172811977;252.99409,49.9800907860158;255.00974,5.24806880624353;257.02539,2.66783467388708;257.12955,6.62578641395238;295.00466,2.52448833320061;297.02031,2.55634307557538;405.07782,3.33678426375727;483.09962,3.26511109341403;58.02984,6.17982002070558;70.06622,11.0456319184519;83.06147,6.10814685036235;93.03459,8.05128613522338;96.08187,7.43011865891535;106.02984,5.78959942661464;110.06114,5.07286772318229;120.04549,14.047941387274;122.06114,5.13657720793183;134.06114,19.3756470494545;148.07679,12.8215338058453;151.08769,7.74070239706936;173.07204,10.0660985904277;177.10334,25.2289559608187;189.10334,9.7953332802421;191.0826,7.31862706060365;199.08769,4.99323086724536;217.09825,6.96822489448117;229.09825,5.73385362745879;432.08872,5.86127259695787;442.07307,16.8352313450665;501.11018,10.9421040057339;503.12583,10.2970454726447",65277-42-1,EPAPLT0069,DTXSID7029879,,
Benzoic acid,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.0367794,122.12,0.982,"79.05423,75.41;105.03349,32.335;77.03858,100;51.02293,46.67","77.03967,100;49.00837,2.56666666666667",65-85-0,EPAPLT0063,DTXSID1020140,Sodium benzoate,532-32-1
Benzoic acid,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.0367794,122.12,0.982,"79.05423,75.41;105.03349,32.335;77.03858,100;51.02293,46.67","77.03967,100;49.00837,2.56666666666667",65-85-0,EPAPLT0068,DTXSID6020143,,
Cyromazine,C1CC1NC2=NC(=NC(=N2)N)N,C6H10N6,166.0966943,166.18,-1.751,"127.07267,66.13;43.02907,67.27;68.02432,100;110.04612,26.93","81.04582,1.58912702561422;41.01452,100;66.00977,88.9336121275483;83.03632,29.8640878201777;125.05812,52.2739153162572;148.06287,12.4934657605855",66215-27-8,EPAPLT0069,DTXSID6023999,,
Esfenvalerate,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,C25H22ClNO3,419.1288213,419.9,3.34,"125.01525,93.1070737656657;153.01017,34.2627638994028;167.0622,54.3191185129111;195.05712,29.350660274203;208.07569,100;210.09134,10.6779375893683;226.08626,36.3613424173606;393.1252,16.8390949617293;148.0393,7.50273361931197;150.99452,10.9008327024981;165.04655,7.39338884683321;177.04655,3.46118260577004;193.04147,5.98872907729834;199.07536,11.9816637227689;224.0706,10.5013037261334;79.05423,7.08638237025822;116.04948,5.26537135166961;127.0309,8.47421986710405;132.04439,6.47657498528051;158.06004,2.50231306249474;171.08044,2.51913533518378;179.02582,8.81066532088485;181.04147,7.13684918832534;183.08044,3.41071578770292","169.00618,18.5545686823215;193.04257,74.1331062173014;197.0608,8.9061929675143;208.07679,100;209.03748,67.7089670276189;324.07968,6.18080058401265;34.9694,73.1901691203309;93.03459,70.5012775276798;150.99562,18.1348095875411;153.01127,8.91227643265604;165.04765,40.8748022873829;167.0633,14.1866407105487;169.06589,26.6942450419759;191.02692,7.3427424260859;222.05605,22.9224966540942;111.0007,5.10402725392384;125.01635,7.26974084438496;130.02984,6.34505414283976;146.02475,41.4101472198564;148.0404,4.69643508942694;193.00618,21.8639737194306;206.06114,4.1063389706777;224.0717,6.56405888794257;392.10589,6.74047937705317;402.09024,5.14661150991605",66230-04-4,EPAPLT0069,DTXSID4032667,,
"Pentane-1,5-diyl dibenzoate",C1=CC=C(C=C1)C(=O)OCCCCCOC(=O)C2=CC=CC=C2,C19H20O4,312.1361591,312.4,3.47,"105.03349,100;123.04406,21.7752905056158;191.10666,22.6924721153473;69.06988,4.06902180249504;79.05423,35.7661964167735;87.08044,3.0935447514671;277.12231,1.97427227857448;295.13287,4.73358983327504;85.06479,1.55843146399285;91.05423,3.28786288912207;93.06988,2.94974932960243;107.04914,3.78531732151879;135.04406,2.58831759356418;137.05971,2.40954490692161;173.09609,1.73331778788232;285.11214,2.4717267109712","121.0295,51.88;77.03967,100",6624-73-3,EPAPLT0066,DTXSID5047538,,
Methyl methanesulfonate,COS(=O)(=O)C,C2H6O3S,110.0037652,110.13,-0.869,"78.98483,100;81.00048,29.525;62.98991,21.71;60.97426,29.65;64.96918,50","76.97027,100;78.98592,58.8200694076819",66-27-3,EPAPLT0061,DTXSID7020845,,
Flutolanil,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,C17H16F3NO2,323.1133132,323.31,3.249,"173.02088,100;110.06004,13.1272925934598;131.01031,1.99016623741513;282.07364,4.15593537813159;322.10494,11.9058768438305;51.02293,2.7237961445407;65.03858,3.04768594396316;81.03349,10.9303051588231;89.00219,8.60844454850542;94.06513,4.72957152891594;105.03349,2.25552173573714;108.04439,3.04378365722313;133.06479,2.13064856005619;134.06004,5.16662764379927;147.00523,4.12471708421135;148.07569,9.38499960977133;150.05495,16.4130180285647;150.09134,7.6836025911184;152.10699,5.36564426754078;162.05495,4.72957152891594;176.0706,2.89159447436198;188.0706,9.20159213298993;190.08626,7.9996878170608;192.10191,3.38718489034574;226.08626,19.0002341372044;228.10191,39.0228674002966;230.04234,4.65152579411535;240.06307,3.52766721298681;240.10191,22.6137516584719;252.06307,3.40279403730586;256.05799,2.70818699758058;262.06741,10.1225318036369;308.08929,3.87887301958948","150.09244,2.77514979501734;108.04549,49.9789761379165;134.02475,83.4857563334385;136.0404,15.5839377693682;145.02706,100;262.06851,11.9468096289288;280.05909,50.1787028277095;302.09981,9.99684642068748;41.99854,6.63302848733312;51.02402,10.7747293177757;68.99576,35.0625459896983;83.05024,5.02470303794807;92.05057,4.7093451066961;106.02984,3.72647955429412;147.04271,3.89992641648271;212.03287,6.32292652160202;236.03287,3.93671817512877;254.04344,7.19541679806581",66332-96-5,EPAPLT0067,DTXSID8024109,,
Fenoxaprop-ethyl,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,C18H16ClNO5,361.0717003,361.8,3.212,"262.02655,100;288.0422,30.6849074804876;316.03711,45.2205559940367;109.02841,39.2572130141191;137.05971,8.34868017188459;165.05462,3.70078049636061;181.04954,8.42322195913356;260.0109,29.5930895378409;300.0422,3.02551960010524;334.04768,5.12584407612032;45.03349,5.07761115495922;57.03349,3.34999561518898;79.05423,21.9372095062703;95.04914,5.86687713759537;111.04406,4.37604139261598;113.01525,5.10392002104709;121.06479,3.97702359028326;129.01017,10.3393843725335;134.02365,30.5138998509164;136.0393,5.02499342278348;142.00542,20.4639130053495;154.00542,5.92387968078576;167.98468,7.36209769358941;170.00033,9.62466017714637;181.08592,3.37191967026221;226.04987,11.4399719372095;234.03163,3.54292729983338;235.0601,3.49469437867228;244.01598,14.4041041831097;246.03163,20.2446724546172;250.06293,7.40156099272121;250.071,3.42015259142331;332.03203,4.36288695957204;336.06333,7.67341927562922;360.06333,3.91125142506358","34.9694,65.4203987286911;151.99086,100;167.98578,50.9737070210922;260.01199,98.8038139266108;314.02256,33.2447269575267;330.01747,4.92343253394973;332.03312,5.83646344986998;43.01894,6.34498699797746;55.01894,33.6087835885582;71.01385,22.2710199364346;73.0295,21.2770875469517;107.01385,54.5160358277954;135.04515,33.5567754984109;163.04007,17.3764807859;244.01708,23.7734758740248;284.01199,7.30424732736203;286.02764,12.4992776654146;288.04329,12.990465183473;316.03821,10.6789945102571;358.04877,8.91071944524704;109.0295,7.52961571800058;139.99086,8.34440913030916;191.98578,43.8717133776365;230.00143,15.7526726379659;231.98069,18.0641433111817;232.01708,15.2557064432245;233.99634,15.8393527882115;246.03273,5.00433400751228;255.98069,5.45507078878937;257.99634,4.99855533082924",66441-23-4,EPAPLT0069,DTXSID2032392,,
